,Station Names,Latitude,Longitude
235,Munirka,28.554886,77.1710841
236,RK Puram,28.5514261,77.1847012
237,IIT Delhi,28.544788,77.18987
238,Hauz Khas,28.5442564,77.2067072
240,Panchsheel Park,28.5433525,77.2140757
241,Chirag Delhi,28.5381411,77.2280694
242,Greater Kailash,28.5418777,77.2384553
243,Nehru Enclave,28.5460584,77.2515057
244,Kalkaji Mandir,28.5497752,77.2606671
246,Okhla NSIC,28.5544828,77.2648487
247,Sukhdev Vihar,28.5597477,77.2749004
248,JAMIA MILLIA ISLAMIA,28.55849025,77.28116474
249,Okhla Vihar,28.5613002,77.2919304
250,Jasola Vihar Shaheen Bagh,28.5458279,77.2966578
251,Kalindi Kunj,28.5452187,77.3059891
252,Okhla Bird Sanctuary,28.5529418,77.321595
253,Botanical Garden,28.5638964,77.334332
255,Majlis Park,28.7244312,77.181964
256,Azadpur,28.7076568,77.1755473
258,Shalimar Bagh,28.71745265,77.15086655
259,Netaji Subash Place,28.69605175,77.15264042
261,Shakurpur,28.6857668,77.1496094
262,Punjabi Bagh West,28.6703201,77.1420875
263,ESI BASAI DARAPUR,28.6580737,77.1272678
264,Rajouri Garden,28.6421518,77.11606038
266,Maya Puri,28.6371795,77.1297333
267,Naraina Vihar,28.6273375,77.1403175
268,Delhi Cantt,28.5938331,77.13497891
269,Durgabai Deshmukh South Campus,28.5894384,77.1690817
271,Sir Vishweshwaraiah Moti Bagh,28.5785326,77.175741
272,Bhikaji Cama Place,28.56790025,77.18701648
273,Sarojini Nagar,28.5741575,77.1953703
274,Dilli Haat INA,28.57440755,77.21024148
276,South Extension,28.6517178,77.2219388
277,Lajpat Nagar,28.57079,77.23653
279,Vinobapuri,28.5669763,77.2491906
280,Ashram,28.5724231,77.2585979
281,Sarai Kale Khan Hazrat Nizamuddin,28.5887494,77.2572494
282,Mayur Vihar Phase-1,28.603133,77.2925892
284,Mayur Vihar Pocket I,28.6058619,77.2987023
285,Trilokpuri Sanjay Lake,28.613453,77.3088549
286,Vinod Nagar East,28.6200437,77.3054069
287,Mandawali - West Vinod Nagar,28.6249712,77.3044906
288,IP Extension,28.6288991,77.31019788
289,Anand Vihar,28.6467533,77.3180037
291,Karkar Duma,28.6491622,77.30620811
293,Karkarduma Court,28.6536001,77.2957877
294,Krishna Nagar,28.6578461,77.2901853
295,East Azad Nagar,28.6646964,77.284881
296,Welcome,28.6718,77.27756
298,Jaffrabad,28.6826822,77.2748055
299,Maujpur,28.69197845,77.27962397
300,Gokulpuri,28.7024752,77.2861253
301,Johri Enclave,28.71288,77.2861253
302,Shiv Vihar,28.61753755,77.03543017
303,Noida Sector 51,28.5857,77.3753
305,Noida Sector 50,28.535517,77.391029
306,Noida Sector 76,28.568746,77.382685
307,Noida Sector 101,28.556402,77.384798
308,Noida Sector 81,28.6225753,77.3743146
309,NSEZ Noida,28.535517,77.391029
310,Noida Sector 83,28.524115,77.397244
311,Noida Sector 137,28.5090789,77.409015
312,Noida Sector 142,28.4758348,77.55447875
313,Noida Sector 143,28.50266325,77.42625566
314,Noida Sector 144,28.4089049,76.9155232
315,Noida Sector 145,28.4089049,76.9155232
316,Noida Sector 146,28.4082289,76.963024
317,Noida Sector 147,28.4089049,76.9155232
318,Noida Sector 148,28.4758348,77.55447875
319,Knowledge Park II,28.4568669,77.50005403
320,Pari Chowk Greater Noida,28.4631285,77.50809851
321,Alpha 1 Greater Noida,28.4709,77.5127
322,Delta 1 Greater Noida,28.474388,77.50399
323,GNIDA Office,28.474388,77.50399
324,Depot Greater Noida,28.474388,77.50399
325,Dwarka,28.5771915,77.0442935
327,Nangli,28.6173003,77.0104375
328,Najafgarh,28.612304,76.9823908
329,New Delhi-Airport Express,28.64307,77.22144
331,Shivaji Stadium,28.62901,77.2119
332,Dhaula Kuan,28.59178,77.16155
334,Delhi Aerocity,28.54881,77.12092
335,IGI Airport,28.55693,77.08669
336,Dwarka Sector 21,28.55226,77.05828
